id;name
1022;Качество и доступность предоставления социальных услуг
1023;Трудоустройство безработных
1009;Брошенный автомобиль
1010;Уборка мусора во дворах
1011;Контейнерные площадки, мусорные контейнеры
1012;Свалки мусора в лесу
1026;Водоотведение
1027;Некачественная вода
1028;Содержание безнадзорных животных
1002;Дезинфекция
1003;Ремонт дорог
1004;Дорожные работы
1020;Нарушения в работе Почты России
1021;Оказание социальной помощи
1024;Предоставление государственных пособий на детей
1025;Отключение воды
1013;Защита прав детей
1014;Заработная плата и социальные выплаты в образовательных организациях
1015;Выплаты обучающимся в образовательных организациях
1016;Вопросы функционирования образовательных организаций
1018;Предложения по изменению маршрута или графика транспорта
1019;Отсутствие качественной сотовой связи
1029;Отлов безнадзорных животных
1005;Ямы, выбоины
1006;Уборка снега
1007;Детские площадки
1008;Канализационные люки
1001;Лекарственные препараты
1017;Питание в образовательных организациях
1030;Капитальный ремонт
