id;name
3;Медицина
114;Автомобильные дороги
115;Благоустройство
116;Дворы и территории общего пользования
118;Мусор
119;Образование
120;Общественный транспорт
121;Плата за ЖКУ
122;Связь и телевидение
123;Социальное обслуживание и защита
125;Водоснабжение
126;Газоснабжение
127;Информационные технологии
128;Культура
131;Природа, Экология
132;Строительство
133;Теплоснабжение
134;Торговля
136;Электроснабжение
137;Ветеринария
139;Лесное хозяйство
140;Общественное питание
141;Парки культуры и отдыха
143;Сельское хозяйство и охота
145;Многоквартирные дома
160;Жалобы в управляющие компании (МП Дом)
169;Почта
171;Телевидение, СМИ
